dump_id,symbol,start_ts,end_ts,pct_chg,vol_mult,dump_type,split
124,ARBUSDT,2024-11-12 08:00:00+00:00,2024-11-13 06:00:00+00:00,16.1985,3.1225,standard,train
125,ARBUSDT,2024-12-09 05:00:00+00:00,2024-12-10 02:00:00+00:00,18.4115,2.0429,standard,train
126,ARBUSDT,2024-12-19 11:00:00+00:00,2024-12-20 11:00:00+00:00,22.2918,2.1851,standard,train
127,ARBUSDT,2025-01-19 17:00:00+00:00,2025-01-20 00:00:00+00:00,15.0419,4.1209,standard,train
128,ARBUSDT,2025-02-02 09:00:00+00:00,2025-02-03 02:00:00+00:00,33.3507,5.7887,standard,train
129,ARBUSDT,2025-02-23 23:00:00+00:00,2025-02-24 22:00:00+00:00,15.0659,2.3718,standard,train
130,ARBUSDT,2025-03-03 01:00:00+00:00,2025-03-04 01:00:00+00:00,17.9055,2.3252,standard,train
131,ARBUSDT,2025-03-10 11:00:00+00:00,2025-03-11 00:00:00+00:00,16.8891,3.2783,standard,train
132,ARBUSDT,2025-04-06 08:00:00+00:00,2025-04-07 06:00:00+00:00,19.3888,4.0547,standard,train
133,ARBUSDT,2025-05-29 22:00:00+00:00,2025-05-30 22:00:00+00:00,16.4887,2.1936,standard,train
134,ARBUSDT,2025-06-12 03:00:00+00:00,2025-06-13 01:00:00+00:00,15.6828,2.0384,standard,train
135,ARBUSDT,2025-10-10 13:00:00+00:00,2025-10-10 22:00:00+00:00,34.1982,7.6802,standard,train
136,ARBUSDT,2025-11-02 23:00:00+00:00,2025-11-03 20:00:00+00:00,16.0755,2.6612,standard,test
137,ARBUSDT,2025-11-20 14:00:00+00:00,2025-11-21 11:00:00+00:00,17.9583,3.7088,standard,test
138,ARBUSDT,2026-02-05 00:00:00+00:00,2026-02-06 00:00:00+00:00,17.0446,6.4759,standard,test
139,ARBUSDT,2026-02-27 09:00:00+00:00,2026-02-28 09:00:00+00:00,17.0863,2.213,standard,test
140,ARBUSDT,2025-02-03 00:00:00+00:00,2025-02-03 01:00:00+00:00,14.1307,16.6063,fast,train
141,ARBUSDT,2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,22.3138,43.6813,fast,train
142,ARUSDT,2024-06-12 17:00:00+00:00,2024-06-13 16:00:00+00:00,18.2614,2.804,standard,train
143,ARUSDT,2024-07-04 03:00:00+00:00,2024-07-05 02:00:00+00:00,20.1607,2.299,standard,train
144,ARUSDT,2024-08-04 12:00:00+00:00,2024-08-05 12:00:00+00:00,26.4255,4.1261,standard,train
145,ARUSDT,2024-10-01 12:00:00+00:00,2024-10-02 12:00:00+00:00,17.3308,3.6894,standard,train
146,ARUSDT,2024-11-25 10:00:00+00:00,2024-11-26 10:00:00+00:00,15.7173,2.6449,standard,train
147,ARUSDT,2024-12-09 18:00:00+00:00,2024-12-10 17:00:00+00:00,17.0581,2.0514,standard,train
148,ARUSDT,2024-12-19 11:00:00+00:00,2024-12-20 11:00:00+00:00,21.2005,2.04,standard,train
149,ARUSDT,2025-01-19 01:00:00+00:00,2025-01-20 00:00:00+00:00,15.3661,2.4833,standard,train
150,ARUSDT,2025-01-26 19:00:00+00:00,2025-01-27 10:00:00+00:00,15.8322,2.9963,standard,train
151,ARUSDT,2025-02-02 05:00:00+00:00,2025-02-03 04:00:00+00:00,31.7056,5.8622,standard,train
152,ARUSDT,2025-02-03 22:00:00+00:00,2025-02-04 21:00:00+00:00,16.883,3.3558,standard,train
153,ARUSDT,2025-03-10 12:00:00+00:00,2025-03-11 00:00:00+00:00,16.3022,2.409,standard,train
154,ARUSDT,2025-04-06 06:00:00+00:00,2025-04-07 06:00:00+00:00,15.8716,2.373,standard,train
155,ARUSDT,2025-10-10 13:00:00+00:00,2025-10-10 22:00:00+00:00,38.4056,8.7613,standard,train
156,ARUSDT,2025-11-02 06:00:00+00:00,2025-11-03 06:00:00+00:00,16.6452,3.3976,standard,test
157,ARUSDT,2025-11-08 04:00:00+00:00,2025-11-09 03:00:00+00:00,35.4015,6.0382,standard,test
158,ARUSDT,2026-01-30 18:00:00+00:00,2026-01-31 18:00:00+00:00,16.6104,3.2232,standard,test
159,ARUSDT,2026-02-04 20:00:00+00:00,2026-02-05 20:00:00+00:00,18.2774,4.5632,standard,test
160,ARUSDT,2026-02-25 09:00:00+00:00,2026-02-25 12:00:00+00:00,16.2092,9.6877,standard,test
161,ARUSDT,2026-02-25 17:00:00+00:00,2026-02-26 16:00:00+00:00,15.5878,4.3042,standard,test
162,ARUSDT,2024-06-13 14:00:00+00:00,2024-06-13 15:00:00+00:00,12.1807,18.7635,fast,train
163,ARUSDT,2025-02-03 00:00:00+00:00,2025-02-03 01:00:00+00:00,15.0368,18.3085,fast,train
164,ARUSDT,2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,22.9014,53.7949,fast,train
165,ARUSDT,2025-11-07 23:00:00+00:00,2025-11-08 00:00:00+00:00,10.3527,15.2204,fast,test
166,ASTERUSDT,2025-10-10 01:00:00+00:00,2025-10-11 01:00:00+00:00,26.0107,2.0492,standard,train
167,ASTERUSDT,2025-11-02 23:00:00+00:00,2025-11-03 22:00:00+00:00,28.7275,3.2437,standard,test
168,ASTERUSDT,2025-12-15 01:00:00+00:00,2025-12-16 00:00:00+00:00,16.1623,2.5052,standard,test
169,ASTERUSDT,2026-02-05 09:00:00+00:00,2026-02-05 20:00:00+00:00,16.6039,4.6408,standard,test
170,ASTERUSDT,2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,16.4735,8.1568,fast,train
171,ATOMUSDT,2024-07-04 04:00:00+00:00,2024-07-05 03:00:00+00:00,17.6713,5.0926,standard,train
172,ATOMUSDT,2024-08-04 06:00:00+00:00,2024-08-05 06:00:00+00:00,17.8482,7.0984,standard,train
173,ATOMUSDT,2024-11-12 08:00:00+00:00,2024-11-13 06:00:00+00:00,15.7377,3.5446,standard,train
174,ATOMUSDT,2024-12-09 19:00:00+00:00,2024-12-10 17:00:00+00:00,22.7359,2.1357,standard,train
175,ATOMUSDT,2024-12-19 13:00:00+00:00,2024-12-20 11:00:00+00:00,21.1243,2.1844,standard,train
176,ATOMUSDT,2025-01-19 01:00:00+00:00,2025-01-20 00:00:00+00:00,15.3079,3.1466,standard,train
177,ATOMUSDT,2025-02-02 05:00:00+00:00,2025-02-03 04:00:00+00:00,31.4505,4.9228,standard,train
178,ATOMUSDT,2025-03-03 02:00:00+00:00,2025-03-04 01:00:00+00:00,15.439,2.0867,standard,train
179,ATOMUSDT,2025-10-10 13:00:00+00:00,2025-10-10 22:00:00+00:00,30.4642,9.5733,standard,train
180,ATOMUSDT,2025-11-02 23:00:00+00:00,2025-11-03 22:00:00+00:00,18.2771,3.0475,standard,test
181,ATOMUSDT,2025-11-20 09:00:00+00:00,2025-11-21 09:00:00+00:00,16.7848,3.4018,standard,test
182,ATOMUSDT,2025-02-03 00:00:00+00:00,2025-02-03 01:00:00+00:00,11.6713,14.6572,fast,train
183,ATOMUSDT,2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,20.8311,71.2675,fast,train
184,AVAXUSDT,2024-07-04 03:00:00+00:00,2024-07-05 02:00:00+00:00,15.0185,2.4368,standard,train
185,AVAXUSDT,2024-08-04 12:00:00+00:00,2024-08-05 12:00:00+00:00,21.5846,4.9787,standard,train
186,AVAXUSDT,2024-11-12 08:00:00+00:00,2024-11-13 05:00:00+00:00,15.4318,4.2041,standard,train
187,AVAXUSDT,2024-12-08 23:00:00+00:00,2024-12-09 22:00:00+00:00,17.3534,2.0032,standard,train
188,AVAXUSDT,2024-12-19 12:00:00+00:00,2024-12-20 11:00:00+00:00,20.7433,2.0523,standard,train
189,AVAXUSDT,2025-02-02 02:00:00+00:00,2025-02-03 02:00:00+00:00,27.7727,4.1459,standard,train
190,AVAXUSDT,2025-03-03 04:00:00+00:00,2025-03-04 03:00:00+00:00,19.4855,2.6513,standard,train
191,AVAXUSDT,2025-03-10 11:00:00+00:00,2025-03-11 00:00:00+00:00,17.0773,3.262,standard,train
192,AVAXUSDT,2025-09-24 18:00:00+00:00,2025-09-25 17:00:00+00:00,15.4143,2.0718,standard,train
193,AVAXUSDT,2025-10-10 05:00:00+00:00,2025-10-10 23:00:00+00:00,27.8153,3.2822,standard,train
194,AVAXUSDT,2026-02-05 01:00:00+00:00,2026-02-06 00:00:00+00:00,15.6003,6.2102,standard,test
195,AVAXUSDT,2025-02-03 00:00:00+00:00,2025-02-03 01:00:00+00:00,11.3653,13.5447,fast,train
196,AVAXUSDT,2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,12.575,22.9315,fast,train
197,BASUSDT,2025-10-13 16:00:00+00:00,2025-10-13 17:00:00+00:00,37.8853,19.7194,standard,train
198,BASUSDT,2025-10-13 18:00:00+00:00,2025-10-14 06:00:00+00:00,15.7863,13.8015,standard,train
199,BASUSDT,2025-10-15 12:00:00+00:00,2025-10-16 03:00:00+00:00,33.7245,6.5438,standard,train
200,BASUSDT,2025-10-17 09:00:00+00:00,2025-10-17 23:00:00+00:00,56.1333,7.8797,standard,train
201,BASUSDT,2025-10-18 21:00:00+00:00,2025-10-19 20:00:00+00:00,83.6463,25.515,standard,train
202,BASUSDT,2025-10-22 13:00:00+00:00,2025-10-23 09:00:00+00:00,20.3252,19.2735,standard,train
203,BASUSDT,2025-10-23 20:00:00+00:00,2025-10-23 21:00:00+00:00,17.9861,12.7834,standard,train
204,BASUSDT,2025-10-24 07:00:00+00:00,2025-10-24 18:00:00+00:00,19.8352,6.8237,standard,train
205,BASUSDT,2025-11-18 18:00:00+00:00,2025-11-19 18:00:00+00:00,29.1798,4.0382,standard,test
206,BASUSDT,2025-11-21 01:00:00+00:00,2025-11-21 10:00:00+00:00,26.6059,2.8029,standard,test
207,BASUSDT,2025-12-14 01:00:00+00:00,2025-12-14 06:00:00+00:00,19.9261,61.1887,standard,test
208,BASUSDT,2025-12-14 15:00:00+00:00,2025-12-15 14:00:00+00:00,33.6156,42.1275,standard,test
209,BASUSDT,2025-12-16 04:00:00+00:00,2025-12-16 09:00:00+00:00,27.0332,18.1819,standard,test
210,BASUSDT,2025-12-17 06:00:00+00:00,2025-12-18 03:00:00+00:00,32.4559,7.0387,standard,test
211,BASUSDT,2025-12-21 06:00:00+00:00,2025-12-22 02:00:00+00:00,19.2927,2.6919,standard,test
212,BASUSDT,2026-01-01 05:00:00+00:00,2026-01-02 04:00:00+00:00,18.3309,2.1434,standard,test
213,BASUSDT,2026-01-31 05:00:00+00:00,2026-01-31 18:00:00+00:00,19.3975,2.8773,standard,test
214,BASUSDT,2026-02-05 01:00:00+00:00,2026-02-06 00:00:00+00:00,21.8012,3.1947,standard,test
215,BASUSDT,2026-02-10 18:00:00+00:00,2026-02-11 07:00:00+00:00,17.1632,6.1827,standard,test
216,BASUSDT,2026-02-15 08:00:00+00:00,2026-02-16 07:00:00+00:00,31.9749,3.035,standard,test
217,BASUSDT,2026-02-18 23:00:00+00:00,2026-02-19 08:00:00+00:00,21.9502,4.1007,standard,test
218,BASUSDT,2026-03-23 23:00:00+00:00,2026-03-24 09:00:00+00:00,25.3197,2.7571,standard,test
219,BASUSDT,2026-03-26 06:00:00+00:00,2026-03-27 05:00:00+00:00,39.8156,6.5776,standard,test
220,BASUSDT,2026-03-28 08:00:00+00:00,2026-03-28 13:00:00+00:00,15.839,3.2643,standard,test
221,BASUSDT,2026-03-29 05:00:00+00:00,2026-03-29 10:00:00+00:00,20.4551,3.5381,standard,test
222,BASUSDT,2026-03-29 13:00:00+00:00,2026-03-30 12:00:00+00:00,24.46,3.4918,standard,test
223,BASUSDT,2026-04-02 09:00:00+00:00,2026-04-03 03:00:00+00:00,19.5459,2.3634,standard,test
224,BASUSDT,2026-04-10 05:00:00+00:00,2026-04-10 11:00:00+00:00,26.7863,11.8619,standard,test
225,BASUSDT,2026-04-10 21:00:00+00:00,2026-04-11 04:00:00+00:00,19.274,3.3113,standard,test
226,BASUSDT,2026-04-22 03:00:00+00:00,2026-04-22 11:00:00+00:00,34.2291,7.2931,standard,test
227,BASUSDT,2026-04-23 23:00:00+00:00,2026-04-24 07:00:00+00:00,24.0686,3.0175,standard,test
228,BASUSDT,2025-09-14 17:00:00+00:00,2025-09-14 18:00:00+00:00,10.4989,2.3733,fast,train
229,BASUSDT,2025-10-13 12:00:00+00:00,2025-10-13 13:00:00+00:00,10.8442,84.235,fast,train
230,BASUSDT,2025-10-13 16:00:00+00:00,2025-10-13 17:00:00+00:00,37.8853,109.5097,fast,train
231,BASUSDT,2025-10-14 01:00:00+00:00,2025-10-14 02:00:00+00:00,11.8972,17.6926,fast,train
232,BASUSDT,2025-10-17 09:00:00+00:00,2025-10-17 10:00:00+00:00,14.4828,16.2409,fast,train
233,BASUSDT,2025-10-17 22:00:00+00:00,2025-10-17 23:00:00+00:00,10.9153,6.3591,fast,train
