dump_id,date,symbol,pct_chg,primary_cause,secondary_cause,all_catalysts,confidence,notes
19,2024-08-04 12:00:00+00:00,1000PEPEUSDT,29.82,btc_cascade,none,btc_cascade,HIGH,fg=36(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
20,2024-10-01 12:00:00+00:00,1000PEPEUSDT,15.88,unknown,none,unknown,NONE,fg=56(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
21,2024-11-14 05:00:00+00:00,1000PEPEUSDT,20.66,unknown,none,unknown,NONE,fg=86(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
22,2024-12-09 18:00:00+00:00,1000PEPEUSDT,19.42,unknown,none,unknown,NONE,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
23,2024-12-19 11:00:00+00:00,1000PEPEUSDT,25.76,unknown,none,unknown,NONE,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
24,2025-01-19 02:00:00+00:00,1000PEPEUSDT,19.36,unknown,none,unknown,NONE,fg=77(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
25,2025-01-26 19:00:00+00:00,1000PEPEUSDT,18.54,unknown,none,unknown,NONE,fg=74(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
26,2025-02-02 05:00:00+00:00,1000PEPEUSDT,29.35,unknown,none,unknown,NONE,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
27,2025-02-24 07:00:00+00:00,1000PEPEUSDT,16.26,unknown,none,unknown,NONE,fg=50(Neutral); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
28,2025-03-03 16:00:00+00:00,1000PEPEUSDT,16.96,btc_cascade,none,btc_cascade,HIGH,fg=30(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
29,2025-03-10 11:00:00+00:00,1000PEPEUSDT,16.23,macro_event,btc_cascade,macro_event|btc_cascade,HIGH,fg=24(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
30,2025-04-02 15:00:00+00:00,1000PEPEUSDT,18.09,unknown,none,unknown,NONE,fg=39(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
31,2025-04-06 08:00:00+00:00,1000PEPEUSDT,17.69,unknown,none,unknown,NONE,fg=32(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
32,2025-10-10 05:00:00+00:00,1000PEPEUSDT,29.39,unknown,none,unknown,NONE,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
33,2025-11-20 12:00:00+00:00,1000PEPEUSDT,16.32,macro_event,none,macro_event,LOW,fg=13(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
34,2026-02-04 23:00:00+00:00,1000PEPEUSDT,18.46,macro_event,none,macro_event,LOW,fg=16(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
35,2024-11-13 18:00:00+00:00,1000PEPEUSDT,13.1,btc_cascade,none,btc_cascade,HIGH,fg=82(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
36,2025-10-10 20:00:00+00:00,1000PEPEUSDT,16.03,btc_cascade,none,btc_cascade,HIGH,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
37,2024-07-04 02:00:00+00:00,1000SHIBUSDT,17.93,btc_cascade,none,btc_cascade,HIGH,fg=47(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
38,2024-08-04 12:00:00+00:00,1000SHIBUSDT,22.13,btc_cascade,none,btc_cascade,HIGH,fg=36(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
39,2024-11-12 08:00:00+00:00,1000SHIBUSDT,19.75,btc_cascade,none,btc_cascade,HIGH,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
40,2024-12-09 18:00:00+00:00,1000SHIBUSDT,18.44,unknown,none,unknown,NONE,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
41,2024-12-19 11:00:00+00:00,1000SHIBUSDT,23.95,unknown,none,unknown,NONE,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
42,2025-02-02 01:00:00+00:00,1000SHIBUSDT,26.52,unknown,none,unknown,NONE,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
43,2025-03-02 23:00:00+00:00,1000SHIBUSDT,15.96,macro_event,none,macro_event,LOW,fg=23(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
44,2025-10-10 05:00:00+00:00,1000SHIBUSDT,23.64,unknown,none,unknown,NONE,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
45,2026-02-05 01:00:00+00:00,1000SHIBUSDT,15.25,macro_event,none,macro_event,LOW,fg=13(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
46,2025-02-03 00:00:00+00:00,1000SHIBUSDT,11.3,btc_cascade,none,btc_cascade,HIGH,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
47,2025-10-10 20:00:00+00:00,1000SHIBUSDT,13.96,btc_cascade,none,btc_cascade,HIGH,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
48,2024-07-04 04:00:00+00:00,AAVEUSDT,15.28,unknown,none,unknown,NONE,fg=47(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
49,2024-08-04 12:00:00+00:00,AAVEUSDT,28.4,btc_cascade,none,btc_cascade,HIGH,fg=36(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
50,2024-12-19 11:00:00+00:00,AAVEUSDT,22.16,unknown,none,unknown,NONE,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
51,2025-02-02 01:00:00+00:00,AAVEUSDT,27.64,unknown,none,unknown,NONE,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
52,2025-02-24 07:00:00+00:00,AAVEUSDT,17.79,unknown,none,unknown,NONE,fg=50(Neutral); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
53,2025-03-02 22:00:00+00:00,AAVEUSDT,20.97,macro_event,none,macro_event,LOW,fg=23(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
54,2025-03-06 02:00:00+00:00,AAVEUSDT,15.56,macro_event,none,macro_event,LOW,fg=22(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
55,2025-04-06 06:00:00+00:00,AAVEUSDT,22.71,unknown,none,unknown,NONE,fg=32(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
56,2025-10-10 13:00:00+00:00,AAVEUSDT,21.62,unknown,none,unknown,NONE,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
57,2025-10-16 11:00:00+00:00,AAVEUSDT,16.21,unknown,none,unknown,NONE,fg=31(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
58,2025-11-13 12:00:00+00:00,AAVEUSDT,16.9,macro_event,none,macro_event,LOW,fg=20(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
59,2026-02-05 00:00:00+00:00,AAVEUSDT,18.81,macro_event,none,macro_event,LOW,fg=16(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
60,2026-04-18 06:00:00+00:00,AAVEUSDT,20.11,macro_event,none,macro_event,LOW,fg=24(Extreme Fear); token_unlock:no_data
61,2025-02-03 00:00:00+00:00,AAVEUSDT,12.54,btc_cascade,none,btc_cascade,HIGH,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
62,2025-10-10 20:00:00+00:00,AAVEUSDT,10.55,btc_cascade,none,btc_cascade,HIGH,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
63,2024-07-04 09:00:00+00:00,ADAUSDT,18.77,unknown,none,unknown,NONE,fg=47(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
64,2024-08-04 12:00:00+00:00,ADAUSDT,20.36,btc_cascade,none,btc_cascade,HIGH,fg=36(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
65,2024-11-12 08:00:00+00:00,ADAUSDT,18.34,btc_cascade,none,btc_cascade,HIGH,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
66,2024-12-19 13:00:00+00:00,ADAUSDT,20.73,unknown,none,unknown,NONE,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
67,2025-01-07 10:00:00+00:00,ADAUSDT,15.56,unknown,none,unknown,NONE,fg=77(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
68,2025-01-19 01:00:00+00:00,ADAUSDT,15.42,unknown,none,unknown,NONE,fg=77(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
69,2025-02-02 01:00:00+00:00,ADAUSDT,30.85,unknown,none,unknown,NONE,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
70,2025-03-03 01:00:00+00:00,ADAUSDT,27.5,unknown,none,unknown,NONE,fg=30(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
71,2025-04-06 06:00:00+00:00,ADAUSDT,19.41,unknown,none,unknown,NONE,fg=32(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
72,2025-10-10 05:00:00+00:00,ADAUSDT,24.79,unknown,none,unknown,NONE,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
73,2025-11-20 12:00:00+00:00,ADAUSDT,15.09,macro_event,none,macro_event,LOW,fg=13(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
74,2025-02-03 00:00:00+00:00,ADAUSDT,18.04,btc_cascade,none,btc_cascade,HIGH,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
75,2025-10-10 20:00:00+00:00,ADAUSDT,13.76,btc_cascade,none,btc_cascade,HIGH,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
76,2024-06-17 01:00:00+00:00,ALTUSDT,20.0,unknown,none,unknown,NONE,fg=71(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
77,2024-07-04 03:00:00+00:00,ALTUSDT,24.62,btc_cascade,none,btc_cascade,HIGH,fg=47(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
78,2024-08-04 12:00:00+00:00,ALTUSDT,25.87,btc_cascade,none,btc_cascade,HIGH,fg=36(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
79,2024-10-01 04:00:00+00:00,ALTUSDT,21.62,unknown,none,unknown,NONE,fg=56(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
80,2024-10-02 03:00:00+00:00,ALTUSDT,18.07,unknown,none,unknown,NONE,fg=46(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
81,2024-11-12 08:00:00+00:00,ALTUSDT,17.21,btc_cascade,none,btc_cascade,HIGH,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
82,2024-11-14 04:00:00+00:00,ALTUSDT,25.82,unknown,none,unknown,NONE,fg=86(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
83,2024-12-08 22:00:00+00:00,ALTUSDT,22.01,unknown,none,unknown,NONE,fg=77(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
84,2025-01-19 01:00:00+00:00,ALTUSDT,19.72,unknown,none,unknown,NONE,fg=77(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
85,2025-01-26 17:00:00+00:00,ALTUSDT,15.31,unknown,none,unknown,NONE,fg=74(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
86,2025-02-02 09:00:00+00:00,ALTUSDT,36.59,unknown,none,unknown,NONE,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
87,2025-02-24 07:00:00+00:00,ALTUSDT,16.59,unknown,none,unknown,NONE,fg=50(Neutral); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
88,2025-04-06 06:00:00+00:00,ALTUSDT,16.58,unknown,none,unknown,NONE,fg=32(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
89,2025-06-16 09:00:00+00:00,ALTUSDT,29.83,unknown,none,unknown,NONE,fg=60(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
90,2025-07-11 05:00:00+00:00,ALTUSDT,27.78,unknown,none,unknown,NONE,fg=71(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
91,2025-07-28 00:00:00+00:00,ALTUSDT,20.22,unknown,none,unknown,NONE,fg=72(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
92,2025-09-21 18:00:00+00:00,ALTUSDT,15.54,unknown,none,unknown,NONE,fg=48(Neutral); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
93,2025-10-10 05:00:00+00:00,ALTUSDT,37.65,unknown,none,unknown,NONE,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
94,2025-10-29 20:00:00+00:00,ALTUSDT,17.63,unknown,none,unknown,NONE,fg=50(Neutral); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
95,2025-11-03 05:00:00+00:00,ALTUSDT,23.89,unknown,none,unknown,NONE,fg=40(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
96,2025-11-21 05:00:00+00:00,ALTUSDT,18.43,macro_event,btc_cascade,macro_event|btc_cascade,HIGH,fg=12(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
97,2026-01-30 18:00:00+00:00,ALTUSDT,15.97,macro_event,stablecoin_outflow,macro_event|stablecoin_outflow,LOW,fg=21(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
98,2026-02-05 00:00:00+00:00,ALTUSDT,17.28,macro_event,none,macro_event,LOW,fg=16(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
99,2026-05-22 11:00:00+00:00,ALTUSDT,26.02,unknown,none,unknown,NONE,fg=28(Fear); token_unlock:no_data
100,2024-06-18 00:00:00+00:00,ALTUSDT,11.46,unknown,none,unknown,NONE,fg=71(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
101,2025-02-03 00:00:00+00:00,ALTUSDT,13.57,btc_cascade,none,btc_cascade,HIGH,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
102,2025-06-16 09:00:00+00:00,ALTUSDT,12.76,unknown,none,unknown,NONE,fg=60(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
103,2025-10-10 20:00:00+00:00,ALTUSDT,21.07,btc_cascade,none,btc_cascade,HIGH,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
104,2024-06-17 18:00:00+00:00,APTUSDT,15.61,unknown,none,unknown,NONE,fg=71(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
105,2024-07-04 04:00:00+00:00,APTUSDT,18.14,unknown,none,unknown,NONE,fg=47(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
106,2024-08-04 12:00:00+00:00,APTUSDT,19.71,btc_cascade,none,btc_cascade,HIGH,fg=36(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
107,2024-12-09 18:00:00+00:00,APTUSDT,18.92,unknown,none,unknown,NONE,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
108,2024-12-19 11:00:00+00:00,APTUSDT,20.51,unknown,none,unknown,NONE,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
109,2024-12-21 07:00:00+00:00,APTUSDT,17.08,unknown,none,unknown,NONE,fg=74(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
110,2025-02-02 08:00:00+00:00,APTUSDT,29.11,unknown,none,unknown,NONE,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
111,2025-04-06 08:00:00+00:00,APTUSDT,17.74,unknown,none,unknown,NONE,fg=32(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
112,2025-07-23 08:00:00+00:00,APTUSDT,19.84,unknown,none,unknown,NONE,fg=73(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
113,2025-10-10 03:00:00+00:00,APTUSDT,30.81,unknown,none,unknown,NONE,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
114,2025-10-16 11:00:00+00:00,APTUSDT,15.43,unknown,none,unknown,NONE,fg=31(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
115,2025-11-03 00:00:00+00:00,APTUSDT,17.29,unknown,none,unknown,NONE,fg=35(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
116,2025-11-20 12:00:00+00:00,APTUSDT,19.42,macro_event,none,macro_event,LOW,fg=13(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
117,2026-01-30 18:00:00+00:00,APTUSDT,17.63,macro_event,stablecoin_outflow,macro_event|stablecoin_outflow,LOW,fg=21(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
118,2026-02-05 01:00:00+00:00,APTUSDT,17.41,macro_event,none,macro_event,LOW,fg=13(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
119,2025-02-03 00:00:00+00:00,APTUSDT,11.5,btc_cascade,none,btc_cascade,HIGH,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
120,2025-10-10 20:00:00+00:00,APTUSDT,16.6,btc_cascade,none,btc_cascade,HIGH,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
121,2024-06-17 01:00:00+00:00,ARBUSDT,16.11,unknown,none,unknown,NONE,fg=71(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
122,2024-07-04 04:00:00+00:00,ARBUSDT,21.66,unknown,none,unknown,NONE,fg=47(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
123,2024-08-04 12:00:00+00:00,ARBUSDT,27.91,btc_cascade,none,btc_cascade,HIGH,fg=36(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
124,2024-11-12 08:00:00+00:00,ARBUSDT,16.2,btc_cascade,none,btc_cascade,HIGH,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
125,2024-12-09 05:00:00+00:00,ARBUSDT,18.41,unknown,none,unknown,NONE,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
126,2024-12-19 11:00:00+00:00,ARBUSDT,22.29,unknown,none,unknown,NONE,fg=78(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
127,2025-01-19 17:00:00+00:00,ARBUSDT,15.04,unknown,none,unknown,NONE,fg=77(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
128,2025-02-02 09:00:00+00:00,ARBUSDT,33.35,unknown,none,unknown,NONE,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
129,2025-02-23 23:00:00+00:00,ARBUSDT,15.07,unknown,none,unknown,NONE,fg=50(Neutral); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
130,2025-03-03 01:00:00+00:00,ARBUSDT,17.91,unknown,none,unknown,NONE,fg=30(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
131,2025-03-10 11:00:00+00:00,ARBUSDT,16.89,macro_event,btc_cascade,macro_event|btc_cascade,HIGH,fg=24(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
132,2025-04-06 08:00:00+00:00,ARBUSDT,19.39,unknown,none,unknown,NONE,fg=32(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
133,2025-05-29 22:00:00+00:00,ARBUSDT,16.49,unknown,none,unknown,NONE,fg=72(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
134,2025-06-12 03:00:00+00:00,ARBUSDT,15.68,unknown,none,unknown,NONE,fg=72(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
135,2025-10-10 13:00:00+00:00,ARBUSDT,34.2,unknown,none,unknown,NONE,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
136,2025-11-02 23:00:00+00:00,ARBUSDT,16.08,unknown,none,unknown,NONE,fg=35(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
137,2025-11-20 14:00:00+00:00,ARBUSDT,17.96,macro_event,btc_cascade,macro_event|btc_cascade,HIGH,fg=13(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
138,2026-02-05 00:00:00+00:00,ARBUSDT,17.04,macro_event,none,macro_event,LOW,fg=16(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
139,2026-02-27 09:00:00+00:00,ARBUSDT,17.09,macro_event,none,macro_event,LOW,fg=12(Extreme Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
140,2025-02-03 00:00:00+00:00,ARBUSDT,14.13,btc_cascade,none,btc_cascade,HIGH,fg=64(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
141,2025-10-10 20:00:00+00:00,ARBUSDT,22.31,btc_cascade,none,btc_cascade,HIGH,fg=67(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
142,2024-06-12 17:00:00+00:00,ARUSDT,18.26,btc_cascade,none,btc_cascade,HIGH,fg=73(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
143,2024-07-04 03:00:00+00:00,ARUSDT,20.16,btc_cascade,none,btc_cascade,HIGH,fg=47(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
144,2024-08-04 12:00:00+00:00,ARUSDT,26.43,btc_cascade,none,btc_cascade,HIGH,fg=36(Fear); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
145,2024-10-01 12:00:00+00:00,ARUSDT,17.33,unknown,none,unknown,NONE,fg=56(Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
146,2024-11-25 10:00:00+00:00,ARUSDT,15.72,unknown,none,unknown,NONE,fg=81(Extreme Greed); liq_cascade:pre_coverage; news_negative:pre_coverage; token_unlock:no_data
