symbol,unlock_date,pct_of_supply,usd_value,type,source
ENAUSDT,2025-10-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2025-11-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2025-12-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2026-01-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2026-02-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2026-03-05,1.41,0,linear,manual_curation_top20
ENAUSDT,2026-04-05,1.67,0,linear,manual_curation_top20
ENAUSDT,2026-05-05,1.67,0,linear,manual_curation_top20
JTOUSDT,2024-12-07,1.43,0,cliff,manual_curation_top20
JTOUSDT,2025-01-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2025-02-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2025-03-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2025-04-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2025-05-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2025-06-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2025-07-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2025-08-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2025-09-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2025-10-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2025-11-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2025-12-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2026-01-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2026-02-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2026-03-07,1.43,0,linear,manual_curation_top20
JTOUSDT,2026-04-07,1.43,0,linear,manual_curation_top20
SEIUSDT,2024-05-01,1.0,0,linear,manual_curation_top20
SEIUSDT,2024-06-01,1.0,0,linear,manual_curation_top20
SEIUSDT,2024-07-01,1.0,0,linear,manual_curation_top20
SEIUSDT,2024-08-01,1.0,0,linear,manual_curation_top20
SEIUSDT,2024-09-01,1.0,0,linear,manual_curation_top20
SEIUSDT,2024-10-01,1.0,0,linear,manual_curation_top20
SEIUSDT,2024-11-01,1.0,0,linear,manual_curation_top20
SEIUSDT,2024-12-01,1.0,0,linear,manual_curation_top20
SEIUSDT,2025-01-01,1.0,0,linear,manual_curation_top20
SEIUSDT,2025-02-01,1.0,0,linear,manual_curation_top20
SEIUSDT,2025-03-01,1.0,0,linear,manual_curation_top20
SEIUSDT,2025-04-01,1.0,0,linear,manual_curation_top20
SEIUSDT,2025-05-01,1.0,0,linear,manual_curation_top20
SEIUSDT,2025-06-01,1.0,0,linear,manual_curation_top20
SEIUSDT,2025-07-01,1.0,0,linear,manual_curation_top20
SUIUSDT,2024-05-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2024-06-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2024-07-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2024-08-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2024-09-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2024-10-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2024-11-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2024-12-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2025-01-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2025-02-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2025-03-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2025-04-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2025-05-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2025-06-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2025-07-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2025-08-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2025-09-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2025-10-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2025-11-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2025-12-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2026-01-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2026-02-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2026-03-03,0.52,0,linear,manual_curation_top20
SUIUSDT,2026-04-03,0.52,0,linear,manual_curation_top20
TIAUSDT,2024-10-31,0.9,0,cliff,manual_curation_top20
TIAUSDT,2024-11-30,0.9,0,linear,manual_curation_top20
TIAUSDT,2024-12-30,0.9,0,linear,manual_curation_top20
TIAUSDT,2025-01-30,0.9,0,linear,manual_curation_top20
TIAUSDT,2025-02-28,0.9,0,linear,manual_curation_top20
TIAUSDT,2025-03-28,0.9,0,linear,manual_curation_top20
TIAUSDT,2025-04-28,0.9,0,linear,manual_curation_top20
TIAUSDT,2025-05-28,0.9,0,linear,manual_curation_top20
TIAUSDT,2025-06-28,0.9,0,linear,manual_curation_top20
TIAUSDT,2025-07-28,0.9,0,linear,manual_curation_top20
TIAUSDT,2025-08-28,0.9,0,linear,manual_curation_top20
TIAUSDT,2025-09-28,0.9,0,linear,manual_curation_top20
TIAUSDT,2025-10-28,0.9,0,linear,manual_curation_top20
TIAUSDT,2025-11-28,0.9,0,linear,manual_curation_top20
TIAUSDT,2025-12-28,0.9,0,linear,manual_curation_top20
TIAUSDT,2026-01-28,0.9,0,linear,manual_curation_top20
TIAUSDT,2026-02-28,0.9,0,linear,manual_curation_top20
TIAUSDT,2026-03-28,0.9,0,linear,manual_curation_top20
TIAUSDT,2026-04-28,0.9,0,linear,manual_curation_top20
WLDUSDT,2024-05-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2024-06-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2024-07-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2024-08-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2024-09-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2024-10-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2024-11-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2024-12-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2025-01-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2025-02-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2025-03-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2025-04-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2025-05-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2025-06-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2025-07-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2025-08-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2025-09-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2025-10-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2025-11-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2025-12-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2026-01-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2026-02-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2026-03-24,0.262,0,linear,manual_curation_top20
WLDUSDT,2026-04-24,0.262,0,linear,manual_curation_top20
